:START_ID(Person)|:END_ID(Company)
17592186047852|539
8796093023924|897
8796093023924|888
8796093023924|889
8796093023924|891
8796093023924|894
37383395347996|465
37383395347996|466
15393162792196|931
15393162792196|937
15393162792196|924
35184372089700|540
26388279067812|183
24189255814820|905
24189255814820|907
30786325577956|399
37383395344756|809
2199023256528|545
2199023256528|540
28587302322764|1569
28587302322764|1571
28587302322764|1572
28587302322764|1573
8796093025168|1557
8796093025168|1558
8796093025168|1561
28587302323508|1409
28587302323508|1426
28587302323508|1416
28587302323508|1405
140|1416
37383395346188|976
37383395346188|981
13194139535464|919
13194139535464|938
19791209300644|785
19791209300644|780
19791209300644|796
19791209300644|782
24189255812772|961
24189255812772|953
24189255812772|955
24189255812772|957
24189255812772|958
17592186046516|919
17592186046516|922
17592186046516|938
17592186046516|909
21990232557996|888
21990232557996|889
21990232557996|891
21990232557996|894
2199023256256|888
2199023256256|891
2199023256256|892
30786325579800|442
30786325579800|462
32985348835864|599
32985348835864|600
32985348835864|601
32985348835864|590
2199023256820|928
24189255811600|801
24189255811600|789
24189255811600|791
24189255811600|796
1500|896
1500|1557
1500|1558
26388279067420|549
26388279067420|551
26388279067420|554
30786325578564|155
30786325578564|172
30786325578564|157
4398046512676|546
4398046512676|547
4398046512676|540
4398046512676|542
37383395344780|919
37383395344780|937
37383395344780|923
37383395344780|926
30786325580452|906
30786325580452|922
6597069770284|1513
37383395347256|544
37383395347256|553
6597069770300|387
6597069770300|374
6597069770300|381
6597069770300|382
8796093025972|897
8796093025972|887
8796093025972|888
8796093025972|890
10995116281628|406
24189255811956|915
24189255811956|932
24189255811956|922
24189255811956|926
24189255811956|463
10995116278276|758
10995116278276|719
13194139534340|300
13194139534340|303
1816|550
1816|540
6597069770244|928
6597069770244|913
6597069770244|920
6597069770244|909
6597069770244|910
15393162791504|932
15393162791504|616
15393162791504|910
15393162791504|927
6597069767320|722
6597069767320|726
6597069767320|719
24189255813296|824
24189255813296|826
26388279068336|916
26388279068336|921
26388279068336|926
26388279068336|927
30786325580392|1184
30786325580392|1186
30786325580392|1197
30786325580392|1117
26388279068732|912
26388279068732|934
26388279068732|923
26388279068732|924
30786325578416|967
30786325578416|953
30786325578416|956
6597069766712|300
4398046511672|1121
4398046511672|1125
4398046511672|1119
28587302325292|546
28587302325292|542
19791209301036|901
19791209301036|1051
32985348833960|949
32985348833960|950
32985348833960|967
32985348833960|957
15393162790532|864
15393162790532|865
17592186046412|449
17592186046412|453
17592186046412|471
17592186046412|476
35184372091640|139
37383395344908|1014
37383395344908|1022
17592186045556|801
17592186045556|802
17592186045556|805
17592186045556|794
17592186045556|795
32985348835956|929
35184372089488|933
35184372089488|925
4398046512380|231
4398046512380|239
19791209303248|176
19791209303248|179
19791209303248|148
19791209303248|137
19791209303248|719
2199023256060|1568
10995116278688|545
10995116278688|546
10995116278688|1285
10995116278688|551
4398046513116|642
4398046513116|661
4398046513116|636
10995116280284|544
10995116280284|549
10995116280284|554
15393162792412|547
15393162792412|982
6597069767856|1015
6597069767856|1018
6597069767856|1021
26388279066632|1
26388279066632|3
30786325578760|545
30786325578760|548
30786325578760|549
26388279069440|836
26388279069440|612
26388279069440|840
26388279069440|841
26388279069440|843
968|931
968|907
968|908
15393162792392|964
15393162792392|953
15393162792392|956
15393162792392|957
988|544
988|539
4398046511548|922
4398046511548|908
4398046511548|910
28587302325800|999
28587302325800|940
28587302325800|93
28587302325800|1535
2199023256028|930
2199023256028|915
2199023256028|931
30786325580260|550
2199023257964|932
26388279070364|32
26388279070364|22
26388279070364|24
26388279070364|28
26388279070364|31
10995116278940|993
10995116278940|994
10995116278940|991
10995116277944|1557
10995116277944|1561
24189255811228|1361
24189255811228|1375
35184372091796|533
35184372091796|534
8796093024996|451
8796093024996|472
8796093024996|460
35184372092148|864
35184372092148|865
35184372092148|866
10995116281264|546
10995116281264|549
10995116281264|552
13194139537188|545
13194139537188|547
13194139537188|543
21990232558624|547
21990232558624|548
21990232558624|539
21990232558624|541
28587302322196|775
28587302322196|776
17592186047912|958
2199023258920|1442
2199023258920|1490
2199023258920|1452
2199023258920|1455
13194139534120|540
13194139534120|542
13194139534120|543
30786325578608|894
21990232559116|354
21990232559116|357
21990232559116|358
21990232559116|364
13194139533728|809
13194139533728|811
13194139533728|813
26388279069732|1200
26388279069732|1188
26388279069732|1181
19791209301472|3
19791209301472|4
19791209301472|5
10995116281620|383
10995116279676|576
10995116279676|568
10995116279676|572
21990232558556|0
21990232558556|453
28587302324556|887
