:START_ID(Post)|:END_ID(Tag)
618475290624|8
618475290624|565
618475290624|5804
618475290624|6588
3|8
3|1021
3|1994
3|1996
3|2113
3|5744
962072674310|8
962072674310|1993
962072674310|2854
962072674310|4958
1099511627785|8
1099511627785|72
1099511627785|1993
1099511627785|2777
1099511627785|2954
481036337164|8
481036337164|5744
893353197583|8
893353197583|565
893353197583|2113
893353197583|2806
893353197583|7603
481036337170|8
481036337170|2894
481036337170|2954
1099511627797|8
1099511627797|2798
824633720856|8
824633720856|1548
824633720856|2004
824633720856|2971
824633720856|5062
206158430235|8
206158430235|1022
206158430235|14450
549755813918|8
549755813918|205
549755813918|2786
549755813918|6588
549755813918|9177
481036337185|8
481036337185|2971
481036337185|6399
481036337185|6981
481036337185|15137
893353197604|8
893353197604|1996
1099511627815|8
1099511627815|578
1099511627815|1548
1099511627815|1985
1099511627815|1996
206158430250|8
206158430250|1021
206158430250|1911
206158430250|2814
206158430250|2954
206158430250|11408
137438953517|8
137438953517|578
137438953517|2971
412316860464|8
412316860464|72
412316860464|205
412316860464|7603
412316860464|11408
687194767411|8
687194767411|578
687194767411|2971
687194767411|5744
687194767411|6399
206158430262|8
206158430262|3105
206158430262|4958
206158430262|6981
206158430265|8
206158430265|138
206158430265|1682
206158430265|2804
755914244156|8
755914244156|1021
755914244156|2779
755914244156|14450
343597383743|8
343597383743|1021
343597383743|6413
343597383743|8501
343597383743|10222
962072674370|8
962072674370|578
962072674370|2804
962072674370|13928
755914244165|8
755914244165|6929
755914244165|8501
755914244165|9177
687194767432|8
687194767432|565
687194767432|2779
687194767432|6413
68719476811|543
68719476811|1689
68719476811|2965
68719476811|9467
68719476811|11377
68719476811|11623
68719476811|11673
68719476812|1689
68719476812|2030
68719476812|7567
68719476812|10149
68719476812|12254
68719476812|12304
68719476813|1689
68719476813|1995
68719476813|5863
68719476813|9295
68719476813|11250
68719476814|294
68719476814|1178
68719476814|1689
68719476814|2850
68719476814|5132
68719476814|7336
68719476814|7553
68719476814|9074
68719476814|9289
68719476814|9474
68719476814|11775
68719476814|12432
68719476814|14758
68719476815|1689
68719476815|2027
68719476815|6298
68719476815|8802
68719476815|9930
68719476815|14429
343597383760|272
343597383760|5062
343597383760|5258
343597383760|7717
343597383760|8535
68719476817|1689
68719476817|2822
68719476817|6416
68719476817|7606
68719476818|1689
68719476818|5025
68719476818|7050
68719476818|8147
343597383763|272
343597383763|2782
343597383763|2850
343597383763|2891
343597383763|7148
343597383763|7727
343597383763|12609
68719476820|1689
68719476820|2789
68719476820|2997
68719476820|3037
68719476820|8153
618475291055|0
618475291055|2985
618475291055|6456
1168231104963|0
1168231104963|290
1168231104963|2009
1168231104963|2829
1168231104963|2880
1168231104963|2980
274877907415|0
274877907415|2824
274877907415|2856
274877907415|3037
274877907415|5743
274877907415|9635
549755814379|0
549755814379|1998
549755814379|2786
549755814379|6945
549755814379|11695
274877907455|0
274877907455|810
274877907455|2786
274877907455|15448
893353198099|0
893353198099|2005
893353198099|2017
893353198099|2829
893353198099|5078
893353198099|11695
549755814439|0
549755814439|2829
549755814439|2985
549755814439|6945
549755814439|7938
1030792151611|0
1030792151611|1766
893353198159|0
274877907555|0
274877907555|1766
274877907555|2005
274877907555|2824
274877907555|2845
274877907555|2934
687194767991|0
687194767991|1192
687194767991|7187
824633721483|0
824633721483|2932
824633721483|5438
618475291295|0
618475291295|2009
618475291295|2934
618475291295|5743
1168231105203|0
1168231105203|779
206158430919|0
206158430919|2058
206158430919|2829
206158430919|12662
206158430919|15448
481036337883|0
481036337883|1994
481036337883|1995
481036337883|2786
755914244847|0
755914244847|11695
549755814659|0
549755814659|290
549755814659|2058
206158430999|0
206158430999|2829
206158430999|7582
206158430999|7938
206158430999|15448
824633721642|0
824633721642|2980
824633721642|7347
824633721642|9174
824633721642|11695
1099511628606|0
1099511628606|595
1099511628606|1673
1099511628606|1987
1099511628606|2934
1099511628606|5530
343597384530|0
343597384530|595
343597384530|1676
343597384530|2058
343597384530|5743
343597384530|10816
343597384530|15448
1168231105382|0
1168231105382|6456
1168231105382|6945
137438954362|0
137438954362|1998
137438954362|7380
1030792151950|0
1030792151950|290
1030792151950|1764
1030792151950|1998
1030792151950|7380
1030792151950|7522
1099511628706|0
1099511628706|774
274877907894|0
274877907894|1766
274877907894|1994
618475291594|416
618475291594|1985
618475291594|2934
206158431186|416
137438954458|416
137438954458|2000
206158431202|416
206158431202|2075
206158431202|3013
893353198570|416
893353198570|2011
893353198570|2784
893353198570|2884
893353198570|3060
549755814898|416
549755814898|2853
549755814898|2942
549755814898|8314
481036338170|416
481036338170|2889
481036338170|6409
343597384706|416
343597384706|2075
343597384706|2847
343597384706|15324
755914245130|416
755914245130|2925
755914245130|3013
687194768402|416
687194768402|2904
755914245146|416
755914245146|2779
755914245146|2789
755914245146|6437
274877908002|416
274877908002|1990
274877908002|2000
274877908002|2061
274877908002|2784
274877908002|2813
274877908002|6740
274877908002|7030
343597384746|416
343597384746|8294
137438954546|416
137438954546|564
137438954546|2789
137438954546|2846
137438954546|3102
274877908026|416
274877908026|2011
274877908026|6938
206158431298|416
206158431298|777
206158431298|1985
206158431298|2039
206158431298|6740
206158431298|6981
206158431298|7380
1030792152138|416
1030792152138|2884
1030792152138|3013
1030792152138|3105
1030792152138|6981
962072675410|416
962072675410|2801
962072675410|2930
962072675410|3060
962072675418|416
962072675418|7380
549755815010|416
549755815010|1670
549755815010|2011
549755815010|2847
549755815010|2885
137438954602|416
137438954602|777
137438954602|2075
137438954602|2841
137438954602|6437
137438954602|7380
137438954602|8314
962072675442|416
962072675442|2061
962072675442|2930
962072675442|5085
962072675442|6409
343597384826|416
343597384826|2784
343597384826|2884
343597384826|6981
343597384826|7030
824633721986|416
824633721986|2846
824633721986|2889
824633721986|8314
1099511628938|416
1099511628938|6409
343597384850|416
343597384850|2912
343597384850|6938
343597384850|15324
274877908122|416
274877908122|1986
274877908122|2061
274877908122|2779
274877908122|5085
481036338338|416
481036338338|1990
481036338338|2784
137438954666|416
137438954666|2784
137438954666|2912
549755815090|416
549755815090|591
1030792152250|416
1030792152250|1173
1030792152250|6437
206158431426|138
206158431426|5666
206158431426|9709
893353198801|138
893353198801|2080
893353198801|2861
824633722080|1031
824633722080|1934
824633722080|3111
824633722080|6375
824633722080|9061
824633722080|9335
824633722080|9818
618475292507|275
893353199718|1524
893353199738|1524
481036339342|1524
893353199778|1524
1099511630006|1521
1099511630006|2097
1099511630006|15146
549755816119|1383
549755816119|2804
549755816119|5102
549755816119|5811
412316862883|142
412316862883|1545
412316862883|11721
824633723302|142
824633723302|1767
962072676777|142
962072676777|144
962072676777|2044
1168231106988|142
1168231106988|594
1168231106988|9141
1168231106988|11557
1099511630255|142
1099511630255|795
824633723314|142
824633723314|2044
824633723314|9146
962072676789|142
962072676789|2044
962072676792|142
412316862907|142
412316862907|9161
687194769854|142
687194769854|565
687194769854|795
687194769854|9141
824633723329|142
824633723329|145
824633723329|468
824633723329|583
824633723329|11557
893353200068|142
893353200068|468
893353200068|9244
1168231107015|142
893353200074|142
893353200074|9141
893353200074|11633
481036339661|142
481036339661|583
481036339661|11698
549755816400|142
549755816400|1767
755914246611|142
755914246611|9141
755914246611|11721
824633723350|142
824633723350|468
824633723353|142
824633723353|5063
412316862940|142
412316862940|1767
412316862940|11698
824633723359|142
824633723359|788
343597386210|142
1030792153573|142
549755816424|142
549755816424|795
549755816424|9161
549755816424|11687
1168231107051|142
1168231107051|1984
1168231107051|2044
1168231107051|11633
1168231107051|11687
687194769902|142
687194769902|468
687194769902|9163
343597386225|1093
343597386225|2025
343597386225|2777
343597386225|6974
343597386225|8564
481036339705|1444
481036339705|9190
481036339705|11848
481036339705|12482
343597386241|1093
343597386241|1615
343597386241|5086
343597386241|7899
343597386249|799
343597386249|1093
